finalPlace,area,detailplace,province,finalPoint,better_distribution
上海市闵行区北吴路335号,闵行区,北吴路335号,上海市,"(31.06467831464038, 121.46279849415161)",807.3703
上海市闵行区虹泉路1288号,闵行区,虹泉路1288号,上海市,"(31.172671152018836, 121.37234119539951)",2173.0423
上海市闵行区朱建路近G15高速,闵行区,朱建路近G15高速,上海市,"(31.225605985377513, 121.28547720851786)",2798.46246
上海市闵行区曙光路280号,闵行区,曙光路280号,上海市,"(31.03012362221743, 121.34858874008798)",2267.7157
上海市闵行区虹梅南路3900弄155号,闵行区,虹梅南路3900弄155号,上海市,"(31.083592645394564, 121.45898741652366)",873.0551
上海市闵行区兴梅路728号,闵行区,兴梅路728号,上海市,"(31.114791067213982, 121.42914680195067)",2471.2561
上海市闵行区东佳路18号,闵行区,东佳路18号,上海市,"(31.11621228547448, 121.54845084656141)",1343.91625
上海市闵行区三鲁公路2121号,闵行区,三鲁公路2121号,上海市,"(31.065388222418267, 121.53435930768747)",1798.5786699999999
上海市闵行区塘浦路1068号,闵行区,塘浦路1068号,上海市,"(31.11128221701618, 121.48070783144294)",747.77862
上海市闵行区七宝镇中春路7611弄118号,闵行区,七宝镇中春路7611弄118号,上海市,"(31.151081432757024, 121.34938320148099)",1661.5517
上海市闵行区疏影路1155号,闵行区,疏影路1155号,上海市,"(31.121251995810322, 121.36441598486827)",2794.9548
上海市闵行区光华路1061号,闵行区,光华路1061号,上海市,"(31.0709809785365, 121.38206683355668)",1307.8769
上海市闵行区沪青平公路1231号,闵行区,沪青平公路1231号,上海市,"(31.17561665707262, 121.33128998105178)",1068.2819299999999
上海市闵行区沪闵路1738号,闵行区,沪闵路1738号,上海市,"(31.035937250851514, 121.42004813493176)",2409.71586
上海市闵行区老江川东路599号,闵行区,老江川东路599号,上海市,"(31.01624747614858, 121.44641726591209)",1215.52361
上海市闵行区星北街451号,闵行区,星北街451号,上海市,"(31.158700474033942, 121.37630317185126)",2771.5336
上海市宝山区宝杨路1183号,宝山区,宝杨路1183号,上海市,"(31.402214449336523, 121.48396993807188)",136.189746
上海市宝山区湄浦路618号,宝山区,湄浦路618号,上海市,"(31.40544587492535, 121.4417217316321)",2492.2637
上海市宝山区江杨南路2058号,宝山区,江杨南路2058号,上海市,"(31.349411915993482, 121.47075002503428)",670.2851
